path,sha1,size,file_description,source_key_timestamp,created_timestamp,modified_timestamp,modified_timestamp2,linker_timestamp,product,company,pe_sizeofimage,version_number,version,language,header_hash,pe_checksum,id,switchbackcontext
C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthCLI.exe,00006cc07271872f9816c1d1d4898f97d9b0c5edf5c1,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.998157,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\iconv.dll,00007609af08d5e093ece86b657b16e4693406efd55c,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:36:00.010701,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\ssleay32.dll,0000948ea80cdd1958cccf0966db708b7efb6ede3499,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.964160,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\vmtools.dll,00001ca29990922bb22fef4fd23b23fb703fbaf21913,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:36:00.021041,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\VMwareAliasImport.exe,0000cd5b921eb99ba8520337947f467291dede747a6e,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.995955,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\gmodule-2.0.dll,00003f305f707e33d20a6e7ad5c4fca7b0f4577e0e91,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.998464,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\glib-2.0.dll,0000e5b1816cde369dfabd379c215db14d85342ee40d,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.866266,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\libeay32.dll,0000235b38aa229decaafbe43709be82ebf2493d154d,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.765862,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\xsec_1_6.dll,0000718188b230a7f35d01bcc3a0ebbebdc9f9e0247d,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:36:00.028314,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuth.dll,00000f551fda650ceaae2f9a696efeeee47cb9f25182,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.992986,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\gio-2.0.dll,00000e631a8980030fa10e0faa51d16244ab731a4949,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.927194,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\VMWSU_V1_0.dll,0000cb6e26a2cf064cb10a3aee48c5bb88e30709f830,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.998925,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\pcre.dll,00009ede5d3f3fb34e38aa0a234012f7a903763e47b9,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.974400,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\gthread-2.0.dll,00007841eb6ace44b74d83539593d2f9ea024dd4cb55,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.999334,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\pcreposix.dll,00000272640ec11ef42dac1d256aa3e59da36766c2e5,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.999437,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\gobject-2.0.dll,0000f9bfd5884e1c58d2211d7283cbad2c779857fee1,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.964211,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\VMware VGAuth\xerces-c_3_1.dll,000057f0ca693c3d8b5f5ec8bdf59f2b900cdefc7aed,,,2017-08-03 11:34:02.279043,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:35:59.739443,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\VMware\VMware Tools\vmacthlp.exe,00001ba53a89540d9c1ba5212e2d2abf908257703ca2,,,2017-08-03 11:34:02.247796,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:51:48.051556,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
C:\Program Files\Common Files\VMware\Drivers\rawdsk\Win8\vmrawdskver.dll,0000740f659598d57d522df450822d7eeaee66ddc199,,,2017-08-03 11:34:02.247796,1601-01-01 00:00:00,1601-01-01 00:00:00,2017-03-17 05:52:04.000051,1969-12-31 19:00:00,,,,,,,,,000075a010066bb612ca7357ce31df8e9f0300000904,
